DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,LapNumber,TyreLife,Compound,Stint,Speed_ms,dt,Acceleration,jerk,speed_Delta,Braking_event,Throttle_zone,Speed_zone_all,Brake_Intensity,Braking_intensity_zone,Gear_Change,Engine_load,TB_overlap
,0,0,9462.374976,0,1,21,0,1,interpolation,-0.066125745,-1.25E-05,OnTrack,-960.9786021,-1557.015169,85.99996443,1,1,MEDIUM,1,0,,,,,FALSE,Medium,Slow,0,None,0,198709.8745,FALSE
,0,0.219,9435,0,1,21,0,1,car,0,0,OnTrack,-960.9976607,-1557.001657,85.99999611,1,1,MEDIUM,1,0,0.219,0,,0,FALSE,Medium,Slow,0,None,0,198135,FALSE
,0,0.23,9373.399642,0.30250176,1,21,0,1,pos,0.015859185,2.99E-06,OnTrack,-961,-1557,86,1,1,MEDIUM,1,0.084028267,0.011,7.638933333,694.4484848,0.30250176,FALSE,Medium,Slow,0,None,0,196841.3925,FALSE
,0,0.49,7917.399642,7.45250176,1,21,0,1,pos,0.723997828,0.000136644,OnTrack,-962,-1556,86,1,1,MEDIUM,1,2.070139378,0.26,7.638888889,-0.00017094,7.15,FALSE,Medium,Slow,0,None,0,166265.3925,FALSE
81,0,0.619,7195,11,1,21,0,1,car,1.222222222,0.000230677,OnTrack,-964.7647148,-1553.175648,85.9996594,1,1,MEDIUM,1,3.055555556,0.129,7.638885099,-2.94E-05,3.54749824,FALSE,Medium,Slow,0,None,0,151095,FALSE
81,0,0.85,5577.999552,16.7750016,1,22.65000046,0,1,pos,2.312282104,0.00043641,OnTrack,-972,-1546,86,1,1,MEDIUM,1,4.659722667,0.231,6.944446368,-3.006228271,5.7750016,FALSE,Medium,Slow,0,None,0,126341.6924,FALSE
81,0,0.899,5235,18,1,23,0,1,car,2.622222222,0.000494906,OnTrack,-973.375642,-1544.733942,86.00062586,1,1,MEDIUM,1,5,0.049,6.944435374,-0.000224373,1.2249984,FALSE,Medium,Slow,0,None,0,120405,FALSE
81,0,1.15,4342.555328,27.7611136,1,32.0638912,0,1,pos,4.743284492,0.000895226,OnTrack,-982,-1537,86,1,1,MEDIUM,1,7.711420444,0.251,10.80247189,15.37066341,9.7611136,FALSE,Medium,Slow,0,None,0,139239.2216,FALSE
81,0,1.259,3955,32,1,36,0,1,car,5.822222222,0.00109886,OnTrack,-989.2949577,-1530.02741,85.99052505,1,1,MEDIUM,1,8.888888889,0.109,10.80246279,-8.35E-05,4.2388864,FALSE,Medium,Slow,0,None,0,142380,FALSE
81,0,1.49,4939.637773,38.73750187,1,49.47500373,0,1,pos,8.315258304,0.001569385,OnTrack,-1010,-1510,86,1,1,MEDIUM,1,10.76041719,0.231,8.101854097,-11.69094674,6.737501867,FALSE,Medium,Slow,0,None,0,244388.5973,FALSE
81,0,1.499,4978,39,1,50,0,1,car,8.422222222,0.001589572,OnTrack,-1010.828175,-1509.207097,86.00332444,1,1,MEDIUM,1,10.83333333,0.009,8.101794239,-0.006650871,0.262498133,FALSE,Medium,Slow,0,None,0,248900,FALSE
81,0,1.659,5675,46,1,51,0,1,car,10.46666667,0.001975432,OnTrack,-1025.637854,-1495.148965,86.10260862,1,1,MEDIUM,1,12.77777778,0.16,12.15277778,25.31864712,7,FALSE,Medium,Slow,0,None,0,289425,FALSE
,0.066666667,1.899,6826,54,1,55,0,1,car,14.06666667,0.00265488,OnTrack,-1047.081394,-1474.878931,86.02452982,1,1,MEDIUM,1,15,0.24,9.259259259,-12.05632716,8,FALSE,Medium,Slow-medium,0,None,0,375430,FALSE
,0.06972224,1.91,6889.937872,54.5958368,1,55.3208352,0,1,pos,14.25389721,0.002690217,OnTrack,-1048,-1474,86,1,1,MEDIUM,1,15.16551022,0.011,15.04638384,526.1022345,0.5958368,FALSE,Medium,Slow-medium,0,None,0,381157.1176,FALSE
,0.133333333,2.139,8221,67,1,62,0,1,car,18.53333333,0.003497898,OnTrack,-1066.965126,-1455.681325,85.16927732,1,1,MEDIUM,1,18.61111111,0.229,15.04629209,-0.000400643,12.4041632,FALSE,Medium,Slow-medium,0,None,0,509702,FALSE
,0.153055573,2.21,8618.600358,68.7750016,1,62.35500032,0,1,pos,19.91140366,0.003757989,OnTrack,-1075,-1448,85,1,1,MEDIUM,1,19.10416711,0.071,6.944450704,-114.1104421,1.7750016,FALSE,Medium,Slow-medium,0,None,0,537412.8281,FALSE
,0.188888889,2.339,9341,72,1,63,0,1,car,22.53333333,0.00425284,OnTrack,-1093.768913,-1430.215908,84.94909745,1,1,MEDIUM,1,20,0.129,6.944440999,-7.52E-05,3.2249984,FALSE,Medium,Slow-medium,0,None,0,588483,FALSE
,0.21972224,2.45,10247.50052,78.01250347,1,66.23750187,0,1,pos,25.05459713,0.004728692,OnTrack,-1112,-1413,85,1,1,MEDIUM,1,21.67013985,0.111,15.04630497,72.98976552,6.012503467,FALSE,Medium,Slow-medium,0,None,0,678768.835,FALSE
44,0.255555556,2.579,11301,85,1,70,0,1,car,28.2,0.005322342,OnTrack,-1133.639232,-1392.558657,84.99894883,1,1,MEDIUM,1,23.61111111,0.129,15.04628883,-0.000125118,6.987496533,FALSE,Medium,Slow-medium,0,None,0,791070,FALSE
44,0.475555606,2.651,11229.25621,87.30605035,1,71.5373669,0,1,pos,30.0024355,0.005662525,OnTrack,-1149,-1378,85,1,1,MEDIUM,1,24.25168065,0.072,8.896799179,-85.4095785,2.306050347,FALSE,High,Slow-medium,0,None,0,803311.4216,FALSE
44,1.114166667,2.86,11021,94,1,76,0,1,car,35.53722222,0.006707136,OnTrack,-1208.257151,-1321.616315,85.01039301,1,1,MEDIUM,1,26.11111111,0.209,8.896796455,-1.30E-05,6.693949653,FALSE,High,Slow-medium,0,None,0,837596,FALSE
44,1.147777973,2.871,10999.07844,94.62857509,1,76.31428754,0,1,pos,35.84884294,0.00676595,OnTrack,-1211,-1319,85,1,1,MEDIUM,1,26.2857153,0.011,15.87310823,634.2101609,0.628575086,FALSE,High,Slow-medium,0,None,0,839386.8351,FALSE
44,1.969722222,3.14,10463,110,2,84,0,1,car,44.09277778,0.008321873,OnTrack,-1253.734789,-1277.999785,84.28042317,1,1,MEDIUM,1,30.55555556,0.269,15.8730121,-0.000357355,15.37142491,FALSE,High,Slow-medium,0,None,1,878892,FALSE
44,2.492222418,3.311,11145.29026,119.4050035,2,87.42000128,0,1,pos,49.81931902,0.009402675,OnTrack,-1282,-1251,84,1,1,MEDIUM,1,33.16805653,0.171,15.2777835,-3.48086901,9.40500352,FALSE,High,Slow-medium,0,None,0,974321.2884,FALSE
44,2.580833333,3.34,11261,121,2,88,0,1,car,50.815,0.009590595,OnTrack,-1288.310795,-1245.002101,84.00227343,1,1,MEDIUM,1,33.61111111,0.029,15.27774406,-0.001359809,1.59499648,FALSE,High,Slow-medium,0,None,0,990968,FALSE
18,0.323333333,3.5,11653,126,2,94,0,1,car,56.415,0.010647514,OnTrack,-1329.229763,-1206.173921,84.12455652,1,1,MEDIUM,1,35,0.16,8.680555556,-41.23242816,5,FALSE,High,Slow-medium,0,None,0,1095382,FALSE
18,0.266755137,3.551,11295.99955,127.9125024,2,95.593752,0,1,pos,58.24225925,0.010992383,OnTrack,-1342,-1194,84,1,1,MEDIUM,1,35.53125067,0.051,10.41667974,34.04165065,1.9125024,FALSE,High,Slow-medium,0,None,0,1079826.98,FALSE
14,0.145833333,3.66,10533,132,2,99,0,1,car,62.28166667,0.011754763,OnTrack,-1367.575081,-1169.474292,83.35143315,1,1,MEDIUM,1,36.66666667,0.109,10.41666055,-0.000176038,4.0874976,FALSE,High,High-medium,0,None,0,1042767,FALSE
14,0.165555573,3.731,10639.8551,137.3250048,2,99,0,1,pos,65.08581222,0.012284005,OnTrack,-1390,-1148,83,1,1,MEDIUM,1,38.14583467,0.071,20.83335211,146.7139657,5.3250048,FALSE,High,High-medium,0,None,0,1053345.655,FALSE
14,0.201388889,3.86,10834,147,3,99,0,1,car,70.44833333,0.013296103,OnTrack,-1450.966852,-1089.847436,82.97185742,1,1,MEDIUM,1,40.83333333,0.129,20.833323,-0.0002257,9.6749952,FALSE,High,High-medium,0,None,1,1072566,FALSE
14,0.215555573,3.911,10993.8852,149.2950029,3,99,0,1,pos,72.61473705,0.01370498,OnTrack,-1476,-1066,83,1,1,MEDIUM,1,41.47083413,0.051,12.50001569,-163.3981826,2.29500288,FALSE,High,High-medium,0,None,0,1088394.635,FALSE
14,0.256944444,4.06,11461,156,3,99,0,1,car,79.115,0.014931811,OnTrack,-1540.173749,-1004.927759,82.86950191,1,1,MEDIUM,1,43.33333333,0.149,12.49999463,-0.000141311,6.70499712,FALSE,High,High-medium,0,None,0,1134639,FALSE
14,0.170555538,4.371,10916.74989,168.6343776,3,99,0,1,pos,93.70013432,0.017684544,OnTrack,-1635,-915,82,1,1,MEDIUM,1,46.84288267,0.311,11.28472454,-3.907620857,12.6343776,FALSE,High,High-medium,0,None,0,1080758.239,FALSE
14,0.168055556,4.38,10901,169,3,99,0,1,car,94.13722222,0.017767038,OnTrack,-1637.076547,-913.0385913,81.97584509,1,1,MEDIUM,1,46.94444444,0.009,11.28464198,-0.009174352,0.3656224,FALSE,High,High-medium,0,None,0,1079199,FALSE
18,1.312222222,4.7,10822,180,4,99,0,1,car,110.1372222,0.020786806,OnTrack,-1703.718745,-850.1225778,81.0464782,1,1,MEDIUM,1,50,0.32,9.548611111,-5.425096451,11,FALSE,High,High-medium,0,None,1,1071378,FALSE
18,1.315277796,4.711,10844.98228,180.3928594,4,99,0,1,pos,110.7033409,0.020893653,OnTrack,-1707,-847,81,1,1,MEDIUM,1,50.10912762,0.011,9.920692641,33.8255936,0.392859429,FALSE,High,High-medium,0,None,0,1073653.245,FALSE
18,1.381666702,4.95,11344.3217,188.928576,4,99,0,1,pos,123.2894695,0.023269102,OnTrack,-1797,-761,80,1,1,MEDIUM,1,52.48016,0.239,9.920637577,-0.000230391,8.535716571,FALSE,High,High-medium,0,None,0,1123087.848,FALSE
18,1.39,4.98,11407,190,4,99,0,1,car,124.915,0.023575897,OnTrack,-1808.629545,-749.8596973,79.9801271,1,1,MEDIUM,1,52.77777778,0.03,9.920592593,-0.001499487,1.071424,FALSE,High,High-medium,0,None,0,1129293,FALSE
